RPM,L_IS
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,6
80,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
50,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
