RPM,R_IS
90,58
90,0
90,0
90,40
90,61
90,41
90,29
90,7
90,0
90,3
90,46
90,115
90,63
90,48
90,57
90,59
90,36
90,3
90,7
90,57
90,59
90,53
90,57
90,47
90,47
90,54
90,0
90,8
90,47
90,61
90,0
90,743
90,60
90,47
90,333
90,0
90,3
90,35
90,53
90,63
90,46
90,39
90,53
90,4
90,0
90,7
90,73
90,55
90,47
90,55
90,60
90,47
90,14
90,0
90,1
90,55
90,64
90,71
90,52
90,51
90,47
90,22
90,14
90,55
90,45
90,41
90,53
90,59
90,57
90,52
90,0
90,6
90,0
90,55
90,53
90,51
90,61
90,52
90,43
90,135
90,3
90,0
90,53
90,51
90,47
90,53
90,52
90,56
90,0
90,37
90,57
90,51
90,47
90,53
90,57
90,5
90,10
90,1
90,0
90,47
100,52
100,0
100,25
100,51
100,225
100,0
100,0
100,0
100,69
100,55
100,215
100,52
100,55
100,27
100,29
100,45
100,53
100,61
100,53
100,56
100,45
100,9
100,0
100,42
100,47
100,47
100,48
100,55
100,47
100,0
100,17
100,52
100,64
100,0
100,53
100,49
100,0
100,11
100,57
100,61
100,57
100,48
100,43
100,53
100,10
100,47
100,55
100,53
100,54
100,46
100,0
100,19
100,0
100,45
100,71
100,0
100,45
100,54
100,52
100,1
100,0
100,51
100,1053
100,46
100,44
100,47
100,16
100,0
100,0
100,53
100,69
100,47
100,55
100,53
100,16
100,0
100,20
100,59
100,55
100,47
100,55
100,45
100,3
100,25
100,51
100,55
100,55
100,59
100,14
100,40
100,3
100,12
100,31
100,59
100,68
100,0
100,53
100,0
100,0
100,57
100,1
100,0
100,40
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,2
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,131
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
