RPM,R_IS
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,83
40,0
40,5
40,0
40,45
40,41
40,41
40,45
40,45
40,51
40,43
40,46
40,45
40,41
40,43
40,45
40,39
40,43
40,47
40,45
40,48
40,43
40,14
40,47
40,45
40,45
40,53
40,46
40,45
40,45
40,46
40,44
40,40
40,43
40,44
40,43
40,42
40,44
40,45
40,26
40,42
40,44
40,45
40,0
40,44
40,52
40,41
40,43
40,46
40,45
40,53
50,51
50,0
50,23
50,48
50,48
50,48
50,48
50,52
50,46
50,47
50,51
50,160
50,58
50,47
50,51
50,43
50,47
50,48
50,53
50,51
50,47
50,51
50,48
50,45
50,36
50,51
50,33
50,48
50,455
50,46
50,45
50,48
50,1403
50,47
50,44
50,55
50,54
50,53
50,41
50,55
50,47
50,16
50,48
50,51
50,53
50,56
50,47
50,51
50,57
50,51
60,57
60,0
60,0
60,0
60,9
60,21
60,33
60,47
60,53
60,57
60,45
60,55
60,67
60,46
60,47
60,53
60,47
60,64
60,43
60,156
60,52
60,47
60,23
60,47
60,51
60,48
60,46
60,51
60,46
60,51
60,101
60,48
60,45
60,51
60,33
60,155
60,47
60,57
60,47
60,47
60,291
60,51
60,53
60,50
60,1928
60,47
60,51
60,62
60,47
60,45
70,71
70,0
70,0
70,0
70,39
70,55
70,53
70,51
70,77
70,48
70,69
70,55
70,56
70,55
70,53
70,47
70,58
70,61
70,53
70,84
70,47
70,53
70,52
70,124
70,53
70,53
70,52
70,47
70,47
70,46
70,53
70,48
70,52
70,52
70,47
70,53
70,57
70,295
70,55
70,0
70,46
70,43
70,61
70,51
70,79
70,47
70,77
70,71
70,42
70,128
80,0
80,0
80,4
80,28
80,44
80,40
80,26
80,33
80,13
80,0
80,45
80,52
80,46
80,59
80,53
80,229
80,54
80,52
80,30
80,55
80,48
80,55
80,71
80,72
80,53
80,44
80,53
80,53
80,24
80,43
80,55
80,51
80,43
80,59
80,55
80,53
80,50
80,48
80,17
80,47
80,47
80,46
80,51
80,70
80,45
80,63
80,41
80,45
80,13
80,44
90,48
90,0
90,0
90,55
90,45
90,40
90,7
90,0
90,3
90,10
90,55
90,48
90,61
90,48
90,39
90,36
90,1
90,17
90,1404
90,53
90,50
90,18
90,0
90,53
90,12
90,75
90,45
90,61
90,72
90,51
90,64
90,46
90,55
90,40
90,5
90,48
90,43
90,53
90,60
90,47
90,50
90,37
90,10
90,43
90,50
90,53
90,45
90,48
90,293
90,0
100,234
100,0
100,1
100,2
100,12
100,0
100,1
100,52
100,47
100,54
100,56
100,47
100,7
100,0
100,53
100,46
100,53
100,47
100,45
100,11
100,1
100,13
100,57
100,48
100,60
100,51
100,45
100,0
100,0
100,47
100,9
100,56
100,51
100,456
100,21
100,22
100,53
100,53
100,67
100,61
100,51
100,23
100,0
100,38
100,47
100,46
100,61
100,52
100,54
100,1
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,84
100,0
100,0
100,103
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,111
100,0
100,0
100,0
100,0
100,0
100,0
