RPM,R_IS
30,12
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,25
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
40,0
40,0
40,71
40,33
40,45
40,45
40,47
40,183
40,43
40,47
40,31
40,45
40,43
40,39
40,47
40,43
40,47
40,41
40,1551
40,41
40,51
40,45
40,48
40,47
40,41
40,46
40,432
40,57
40,41
40,41
40,46
40,49
40,47
40,37
40,64
40,45
40,44
40,43
40,42
40,44
40,41
40,47
40,48
40,43
40,59
40,47
40,43
40,44
40,43
40,48
40,46
40,41
40,43
40,44
40,48
40,48
40,45
40,47
40,43
40,50
40,39
40,41
40,43
40,47
40,79
40,43
40,53
40,42
40,47
40,41
40,43
40,47
40,47
40,44
40,44
40,29
40,47
40,43
40,52
40,43
40,71
40,47
40,47
40,45
40,41
40,53
40,53
40,44
40,45
40,45
40,44
40,43
40,44
40,45
40,50
40,0
40,45
40,41
40,0
40,44
50,53
50,0
50,43
50,71
50,51
50,53
50,48
50,20
50,52
50,53
50,52
50,741
50,45
50,57
50,53
50,54
50,55
50,92
50,1359
50,57
50,3800
50,55
50,51
50,48
50,45
50,547
50,53
50,45
50,1896
50,56
50,0
50,50
50,20
50,51
50,47
50,109
50,48
50,48
50,48
50,55
50,52
50,51
50,52
50,48
50,2132
50,1335
50,43
50,52
50,47
50,1187
50,35
50,48
50,48
50,52
50,52
50,46
50,50
50,47
50,59
50,45
50,2250
50,53
50,51
50,1061
50,52
50,53
50,57
50,52
50,45
50,45
50,47
50,53
50,45
50,47
50,1967
50,56
50,3457
50,47
50,55
50,187
50,47
50,43
50,48
50,50
50,39
50,53
50,41
50,1208
50,60
50,51
50,1005
50,43
50,43
50,55
50,54
50,56
50,51
50,672
50,45
50,45
60,17
60,0
60,30
60,0
60,43
60,55
60,53
60,17
60,39
60,53
60,47
60,136
60,52
60,43
60,52
60,47
60,54
60,59
60,43
60,46
60,76
60,55
60,47
60,175
60,47
60,45
60,55
60,48
60,21
60,51
60,55
60,46
60,48
60,53
60,47
60,47
60,51
60,44
60,74
60,56
60,75
60,31
60,52
60,55
60,47
60,0
60,56
60,47
60,47
60,47
60,57
60,45
60,52
60,48
60,47
60,55
60,63
60,379
60,47
60,48
60,54
60,57
60,52
60,355
60,43
60,63
60,51
60,52
60,53
60,52
60,47
60,51
60,59
60,52
60,52
60,48
60,2325
60,0
60,45
60,48
60,47
60,531
60,46
60,57
60,52
60,47
60,109
60,45
60,45
60,45
60,29
60,47
60,51
60,51
60,46
60,47
60,45
60,47
60,43
60,31
70,59
70,0
70,0
70,3
70,0
70,11
70,42
70,55
70,55
70,53
70,53
70,43
70,55
70,68
70,61
70,43
70,45
70,44
70,45
70,55
70,45
70,52
70,61
70,62
70,47
70,53
70,53
70,47
70,51
70,52
70,43
70,45
70,54
70,77
70,39
70,47
70,55
70,70
70,47
70,48
70,56
70,56
70,31
70,59
70,47
70,47
70,0
70,191
70,46
70,4
70,47
70,51
70,48
70,78
70,57
70,45
70,47
70,47
70,43
70,47
70,61
70,48
70,43
70,47
70,33
70,48
70,56
70,47
70,58
70,17
70,55
70,53
70,55
70,4
70,54
70,44
70,57
70,53
70,0
70,48
70,48
70,41
70,36
70,43
70,1407
70,53
70,58
70,45
70,54
70,41
70,59
70,47
70,56
70,45
70,68
70,107
70,55
70,47
70,51
70,48
80,47
80,0
80,7
80,59
80,56
80,47
80,54
80,10
80,24
80,11
80,18
80,53
80,159
80,43
80,53
80,51
80,55
80,53
80,41
80,6
80,18
80,47
80,47
80,47
80,47
80,61
80,555
80,53
80,23
80,23
80,31
80,47
80,61
80,55
80,47
80,48
80,45
80,353
80,44
80,183
80,15
80,28
80,55
80,53
80,57
80,48
80,57
80,59
80,0
80,16
80,3
80,28
80,45
80,63
80,63
80,48
80,55
80,59
80,57
80,42
80,7
80,45
80,47
80,47
80,45
80,52
80,53
80,59
80,51
80,29
80,44
80,206
80,53
80,53
80,57
80,29
80,51
80,71
80,59
80,24
80,7
80,43
80,53
80,48
80,79
80,47
80,55
80,48
80,47
80,51
80,11
80,47
80,53
80,31
80,44
80,48
80,47
80,46
80,47
80,41
90,53
90,0
90,0
90,0
90,0
90,0
90,5
90,57
90,0
90,53
90,47
90,47
90,3
90,3
90,53
90,61
90,48
90,53
90,57
90,53
90,51
90,21
90,11
90,55
90,61
90,33
90,52
90,55
90,55
90,14
90,22
90,17
90,45
90,103
90,57
90,55
90,51
90,46
90,10
90,0
90,25
90,403
90,75
90,47
90,51
90,46
90,39
90,0
90,1
90,53
90,47
90,47
90,52
90,55
90,42
90,4
90,2
90,21
90,53
90,58
90,56
90,44
90,48
90,45
90,10
90,36
90,5
90,48
90,53
90,48
90,58
90,55
90,40
90,21
90,7
90,59
90,55
90,51
90,51
90,53
90,45
90,6
90,14
90,7
90,51
90,22
90,50
90,1148
90,43
90,27
90,0
90,0
90,45
90,111
90,51
90,227
90,59
90,39
90,7
90,6
100,53
100,5
100,31
100,52
100,496
100,0
100,0
100,0
100,11
100,48
100,50
100,55
100,55
100,0
100,0
100,47
100,61
100,53
100,40
100,55
100,47
100,0
100,0
100,52
100,77
100,51
100,55
100,51
100,19
100,0
100,40
100,69
100,75
100,44
100,55
100,51
100,331
100,22
100,0
100,8
100,45
100,45
100,56
100,47
100,1
100,46
100,51
100,61
100,47
100,57
100,43
100,0
100,7
100,46
100,61
100,10
100,62
100,52
100,0
100,1
100,57
100,45
100,0
100,55
100,130
100,0
100,0
100,23
100,63
100,52
100,46
100,45
100,41
100,0
100,0
100,41
100,55
100,83
100,55
100,55
100,0
100,0
100,43
100,15
100,48
100,47
100,51
100,48
100,1
100,60
100,45
100,52
100,71
100,47
100,43
100,13
100,27
100,43
100,63
100,47
100,0
100,0
100,0
100,0
100,0
100,35
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,117
100,0
100,0
100,0
100,57
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
90,0
90,0
90,0
90,25
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
90,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
80,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,47
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,10
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
70,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,6
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
60,27
60,0
60,0
60,0
