RPM,R_IS
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,61
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,72
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
40,0
40,0
40,0
40,3
40,41
40,45
40,45
40,0
40,45
40,47
40,43
40,43
40,43
40,43
40,40
40,45
40,41
40,45
40,0
40,57
40,44
40,39
40,45
40,39
40,44
40,45
40,47
40,41
40,41
40,41
40,39
40,297
40,46
40,45
40,51
40,39
40,48
40,39
40,45
40,43
40,42
40,47
40,42
40,45
40,41
40,47
40,25
40,47
40,44
40,46
50,45
50,0
50,47
50,56
50,56
50,53
50,47
50,45
50,52
50,57
50,47
50,57
50,0
50,45
50,55
50,48
50,46
50,47
50,53
50,45
50,1656
50,53
50,47
50,53
50,1424
50,47
50,53
50,47
50,51
50,53
50,27
50,31
50,54
50,53
50,57
50,55
50,41
50,46
50,47
50,53
50,48
50,43
50,44
50,51
50,1264
50,37
50,53
50,52
50,55
50,0
60,52
60,0
60,1
60,0
60,27
60,7
60,47
60,47
60,47
60,55
60,40
60,42
60,56
60,50
60,33
60,39
60,50
60,20
60,167
60,52
60,50
60,51
60,53
