RPM,R_IS
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,6
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,103
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
40,0
40,0
40,0
40,25
40,39
40,43
40,44
40,46
40,45
40,46
40,51
40,53
40,0
40,43
40,44
40,71
40,47
40,42
40,41
40,46
40,44
40,39
40,48
40,52
40,52
40,47
40,41
40,47
40,52
40,45
40,44
40,29
40,39
40,53
40,43
40,43
40,79
40,47
40,41
40,50
40,45
40,346
40,59
40,45
40,44
40,45
40,44
40,48
40,39
40,37
40,45
40,45
40,45
40,45
40,37
40,44
40,43
40,44
40,45
40,47
40,45
40,46
40,333
40,43
40,47
40,45
40,650
40,44
40,45
40,45
40,43
40,45
40,41
40,0
40,40
40,43
40,45
40,58
40,51
40,40
40,45
40,0
40,44
40,47
40,43
40,43
40,42
40,46
40,45
40,48
40,45
40,27
40,47
40,44
40,27
40,45
40,47
40,46
40,0
40,0
50,167
50,3
50,24
50,59
50,47
50,48
50,51
50,46
50,121
50,675
50,55
50,56
50,43
50,46
50,146
50,48
50,52
50,53
50,63
50,52
50,48
50,55
50,52
50,48
50,52
50,47
50,149
50,52
50,632
50,1529
50,54
50,43
50,311
50,47
50,53
50,47
50,51
50,52
50,51
50,52
50,0
50,48
50,52
50,46
50,46
50,51
50,928
50,57
50,55
50,55
50,47
50,53
50,48
50,46
50,51
50,47
50,792
50,51
50,43
50,48
50,822
50,47
50,39
50,47
50,903
50,943
50,79
50,47
50,48
50,47
50,905
50,54
50,55
50,1022
50,55
50,0
50,41
50,43
50,1031
50,55
50,43
50,51
50,1840
50,42
50,41
50,43
50,47
50,52
50,47
50,51
50,52
50,1308
50,45
50,51
50,47
50,0
50,45
50,24
50,45
50,55
60,203
60,0
60,0
60,0
60,13
60,47
60,51
60,53
60,45
60,51
60,0
60,45
60,2285
60,51
60,51
60,45
60,46
60,47
60,51
60,53
60,55
60,53
60,47
60,71
60,48
60,45
60,48
60,51
60,53
60,51
60,63
60,54
60,47
60,71
60,108
60,52
60,55
60,79
60,52
60,47
60,211
60,51
60,43
60,45
60,43
60,53
60,71
60,54
60,55
60,63
60,45
60,48
60,47
60,47
60,47
60,45
60,70
60,47
60,48
60,51
60,44
60,43
60,53
60,54
60,165
60,139
60,47
60,72
60,46
60,56
60,287
60,51
60,48
60,47
60,60
60,52
60,47
60,59
60,31
60,51
60,0
60,51
60,48
60,51
60,53
60,191
60,48
60,47
60,64
60,51
60,2215
60,47
60,55
60,37
60,55
60,52
60,45
60,59
60,61
60,52
70,53
70,0
70,0
70,46
70,48
70,47
70,195
70,71
70,53
70,301
70,1088
70,48
70,67
70,54
70,47
70,23
70,61
70,47
70,51
70,73
70,55
70,54
70,47
70,61
70,52
70,43
70,53
70,71
70,47
70,45
70,51
70,61
70,58
70,55
70,889
70,0
70,43
70,59
70,56
70,55
70,47
70,59
70,52
70,71
70,45
70,159
70,0
70,51
70,77
70,3
70,47
70,53
70,48
70,44
70,47
70,53
70,0
70,45
70,53
70,48
70,33
70,2173
70,52
70,45
70,67
70,47
70,47
70,48
70,54
70,48
70,51
70,45
70,87
70,47
70,71
70,71
70,48
70,47
70,44
70,46
70,46
70,52
70,46
70,64
70,55
70,45
70,51
70,43
70,61
70,46
70,55
70,50
70,53
70,44
70,69
70,51
70,45
70,53
70,73
70,53
80,22
80,0
80,0
80,42
80,46
80,41
80,40
80,18
80,4
80,31
80,53
80,63
80,47
80,43
80,58
80,52
80,51
80,0
80,10
80,231
80,47
80,419
80,51
80,40
80,53
80,44
80,0
80,43
80,7
80,21
80,47
80,63
80,53
80,59
80,45
80,113
80,55
80,53
80,51
80,61
80,51
80,52
80,40
80,53
80,1253
80,57
80,52
80,59
80,21
80,11
80,45
80,53
80,63
80,55
80,47
80,87
80,64
80,57
80,61
80,2
80,12
80,39
80,45
80,0
80,77
80,47
80,974
80,53
80,0
80,37
80,18
80,18
80,45
80,55
80,43
80,51
80,41
80,53
80,45
80,57
80,69
80,36
80,43
80,43
80,47
80,45
80,175
80,55
80,52
80,53
80,47
80,19
80,9
80,47
80,48
80,63
80,45
80,30
80,44
80,201
90,72
90,4
90,0
90,0
90,0
90,0
90,0
90,0
90,13
90,57
90,43
90,67
90,0
90,26
90,16
90,0
90,7
90,33
90,61
90,48
90,56
90,45
90,19
90,0
90,13
90,0
90,43
90,55
90,48
90,47
90,47
90,1
90,6
90,2
90,47
90,59
90,47
90,53
90,47
90,15
90,28
90,30
90,33
90,63
90,56
90,46
90,59
90,31
90,10
90,4
90,33
90,45
90,51
90,56
90,51
90,63
90,22
90,0
90,43
90,56
90,58
90,45
90,55
90,45
90,41
90,52
90,31
90,1485
90,47
90,58
90,61
90,55
90,39
90,55
90,7
90,4
90,43
90,95
90,59
90,60
90,48
90,29
90,0
90,0
90,6
90,61
90,47
90,60
90,61
90,59
90,43
90,1
90,17
90,44
90,45
90,49
90,45
90,56
90,51
90,51
100,44
100,0
100,599
100,33
100,45
100,13
100,10
100,0
100,10
100,187
100,461
100,59
100,51
100,10
100,9
100,1
100,53
100,70
100,41
100,83
100,53
100,22
100,43
100,1
100,55
100,53
100,51
100,31
100,58
100,20
100,45
100,69
100,55
100,54
100,57
100,53
100,47
100,53
100,59
100,53
100,44
100,47
100,51
100,59
100,0
100,47
100,53
100,69
100,54
100,57
100,41
100,2
100,9
100,51
100,56
100,60
100,55
100,48
100,53
100,18
100,47
100,43
100,41
100,0
100,51
100,68
100,48
100,0
100,12
100,59
100,47
100,53
100,64
100,15
100,0
100,0
100,48
100,70
100,72
100,61
100,51
100,41
100,109
100,55
100,69
100,43
100,45
100,52
100,57
100,26
100,23
100,55
100,45
100,56
100,54
100,48
100,39
100,11
100,0
100,52
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,93
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,92
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,115
100,0
