RPM,R_IS
30,0
30,0
30,0
30,109
30,0
30,0
30,0
30,0
30,4
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,107
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,107
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
40,173
40,0
40,0
40,26
40,45
40,37
40,85
40,0
40,41
40,43
40,159
40,51
40,43
40,45
40,39
40,40
40,41
40,41
40,51
40,43
40,51
40,43
40,44
40,27
40,45
40,44
40,46
40,43
40,43
40,40
40,47
40,44
40,46
40,47
40,57
40,51
40,47
40,47
40,45
40,43
40,45
40,52
40,43
40,40
40,45
40,43
40,43
40,79
40,41
40,46
40,43
40,41
40,53
40,43
40,43
40,43
40,46
40,47
40,42
40,44
40,51
40,45
40,46
40,47
40,38
40,39
40,52
40,45
40,41
40,60
40,48
40,19
40,46
40,43
40,39
40,43
40,41
40,45
40,42
40,43
40,47
40,47
40,48
40,40
40,45
40,50
40,40
40,51
40,57
40,53
40,44
40,0
40,41
40,48
40,0
40,44
40,45
40,52
40,44
40,42
50,76
50,0
50,37
50,55
50,47
50,47
50,51
50,55
50,30
50,47
50,1121
50,31
50,53
50,1791
50,3200
50,155
50,37
50,52
50,39
50,47
50,53
50,43
50,131
50,44
50,55
50,2279
50,1128
50,44
50,53
50,52
50,1250
50,52
50,3087
50,1320
50,44
50,1411
50,43
50,40
50,51
50,53
50,12
50,41
50,47
50,53
50,952
50,43
50,41
50,53
50,52
50,46
50,47
50,47
50,47
50,73
50,26
50,55
50,47
50,45
50,49
50,51
50,53
50,51
50,47
50,1939
50,47
50,51
50,51
50,263
50,56
50,53
50,46
50,33
50,350
50,47
50,61
50,43
50,0
50,45
50,47
50,47
50,72
50,45
50,45
50,51
50,47
50,51
50,46
50,47
50,45
50,46
50,46
50,47
50,50
50,47
50,48
50,47
50,51
50,57
50,339
50,47
60,125
60,0
60,0
60,3
60,0
60,24
60,52
60,54
60,47
60,46
60,52
60,0
60,45
60,63
60,55
60,46
60,45
60,60
60,47
60,51
60,53
60,47
60,51
60,55
60,48
60,72
60,51
60,55
60,78
60,55
60,71
60,45
60,52
60,61
60,75
60,77
60,51
60,62
60,48
60,51
60,47
60,47
60,48
60,53
60,1912
60,30
60,47
60,95
60,57
60,47
60,221
60,48
60,621
60,2667
60,45
60,51
60,53
60,69
60,50
60,54
60,51
60,47
60,255
60,53
60,53
60,47
60,60
60,52
60,52
60,53
60,1807
60,45
60,55
60,53
60,47
60,41
60,53
60,46
60,53
60,55
60,45
60,61
60,47
60,48
60,39
60,47
60,69
60,73
60,47
60,55
60,0
60,37
60,56
60,60
60,47
60,1764
60,58
60,45
60,125
60,22
