RPM,R_IS
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,39
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
40,0
40,0
40,0
40,0
40,2
40,0
40,31
40,5
40,39
40,44
40,44
40,43
40,55
40,43
40,37
40,41
40,39
40,41
40,45
40,41
40,83
40,310
40,43
40,42
40,39
40,41
40,45
40,43
40,45
40,44
40,1597
40,46
40,41
40,39
40,47
40,43
40,43
40,18
40,57
40,103
40,43
40,47
40,43
40,43
40,45
40,47
40,43
40,51
40,41
40,41
40,40
40,47
40,43
40,43
40,44
40,46
40,41
40,53
40,41
40,45
40,45
40,45
40,41
40,47
40,45
40,43
40,45
40,40
40,40
40,47
40,47
40,44
40,41
40,40
40,41
40,41
40,41
40,40
40,41
40,0
40,41
40,47
40,46
40,39
40,45
40,43
40,14
40,52
40,0
40,47
40,47
40,51
40,44
40,53
40,43
40,41
40,0
40,0
40,44
40,43
50,10
50,0
50,48
50,47
50,43
50,51
50,45
50,55
50,800
50,45
50,44
50,43
50,1067
50,48
50,48
50,53
50,54
50,46
50,502
50,58
50,31
50,55
50,54
50,53
50,45
50,51
50,45
50,54
50,48
50,22
50,38
50,1113
50,48
50,48
50,45
50,552
50,1535
50,47
50,281
50,48
50,47
50,48
50,55
50,52
50,845
50,1071
50,2007
50,47
50,48
50,41
50,1721
50,51
50,52
50,51
50,46
50,1007
50,54
50,1068
50,45
50,48
50,45
50,45
50,45
50,47
50,43
50,64
50,2767
50,46
50,45
50,46
50,48
50,53
50,3068
50,53
50,47
50,1003
50,45
50,62
50,55
50,55
50,53
50,1524
50,55
50,47
50,1741
50,48
50,53
50,2019
50,47
50,47
50,47
50,52
50,47
50,52
50,751
50,285
50,43
50,54
50,55
50,47
60,53
60,0
60,19
60,48
60,71
60,47
60,60
60,45
60,0
60,69
60,48
60,45
60,47
60,47
60,53
60,0
60,53
60,48
60,51
60,53
60,53
60,53
60,51
60,46
60,52
60,233
60,45
60,46
60,51
60,45
60,53
60,51
60,52
60,48
60,47
60,47
60,48
60,55
60,47
60,47
60,47
60,47
60,43
60,51
60,45
60,2075
60,52
60,37
60,56
60,43
60,0
60,69
60,55
60,48
60,52
60,63
60,341
60,57
60,48
60,52
60,55
60,53
60,59
60,57
60,47
60,56
60,47
60,52
60,51
60,59
60,47
60,44
60,46
60,47
60,52
60,51
60,45
60,53
60,0
60,48
60,51
60,47
60,51
60,63
60,51
60,51
60,48
60,55
60,48
60,43
60,45
60,45
60,52
60,45
60,45
60,46
60,43
60,71
60,47
60,48
70,51
70,0
70,0
70,2
70,1
70,11
70,19
70,0
70,46
70,52
70,46
70,64
70,71
70,41
70,0
70,68
70,47
70,48
70,61
70,53
70,56
70,47
70,48
70,45
70,183
70,55
70,55
70,77
70,553
70,8
70,51
70,47
70,48
70,23
70,0
70,47
70,47
70,75
70,70
70,47
70,57
70,36
70,47
70,57
70,51
70,52
70,59
70,46
70,47
70,70
70,48
70,2375
70,71
70,48
70,71
70,45
70,0
70,48
70,51
70,55
70,60
70,53
70,55
70,51
70,83
70,46
70,45
70,57
70,47
70,48
70,53
70,111
70,78
70,20
70,52
70,0
70,72
70,45
70,45
70,51
70,151
70,38
70,48
70,52
70,49
70,49
70,41
70,57
70,51
70,48
70,77
70,47
70,45
70,33
70,0
70,48
70,53
70,44
70,48
70,67
80,47
80,0
80,6
80,0
80,0
80,0
80,0
80,46
80,53
80,43
80,0
80,52
80,55
80,28
80,0
80,7
80,46
80,0
80,53
80,56
80,48
80,27
80,54
80,54
80,12
80,29
80,0
80,29
80,58
80,47
80,45
80,0
80,48
80,45
80,24
80,51
80,0
80,48
80,45
80,55
80,55
80,47
80,48
80,54
80,47
80,0
80,47
80,51
80,227
80,48
80,299
80,64
80,47
80,53
80,55
80,91
80,56
80,119
80,111
80,53
80,47
80,55
80,48
80,59
80,33
80,30
80,61
80,52
80,56
80,69
80,72
80,48
80,57
80,53
80,51
80,51
80,55
80,53
80,47
80,0
80,47
80,45
80,56
80,51
80,28
80,44
80,18
80,0
80,0
80,47
80,51
80,51
80,61
80,52
80,47
80,7
80,1
80,4
80,51
80,41
90,69
90,0
90,0
90,0
90,0
90,759
90,70
90,46
90,51
90,53
90,33
90,11
90,8
90,53
90,54
90,109
90,54
90,51
90,54
90,43
90,4
90,10
90,8
90,59
90,55
90,52
90,47
90,58
90,39
90,22
90,1
90,43
90,55
90,51
90,54
90,55
90,53
90,46
90,1
90,35
90,45
90,64
90,70
90,45
90,214
90,201
90,48
90,33
90,47
90,47
90,51
90,48
90,99
90,50
90,55
90,10
90,0
90,53
90,47
90,72
90,53
90,54
90,53
90,39
90,20
90,0
90,56
90,46
90,57
90,52
90,1095
90,47
90,29
90,0
90,40
90,56
90,52
90,69
90,289
90,47
90,1001
90,43
90,18
90,3
90,55
90,47
90,49
90,51
90,55
90,53
90,9
90,2
90,45
90,48
90,52
90,59
90,61
90,51
90,10
90,4
100,48
100,0
100,0
100,3
100,37
100,77
100,0
100,48
100,0
100,0
100,0
100,53
100,119
100,61
100,56
100,42
100,0
100,8
100,3
100,47
100,46
100,57
100,46
100,43
100,11
100,3
100,59
100,51
100,59
100,62
100,45
100,37
100,20
100,52
100,59
100,43
100,46
100,57
100,0
100,1
100,6
100,55
100,71
100,56
100,55
100,47
100,0
100,0
100,21
100,45
100,55
100,62
100,12
100,1
100,0
100,0
100,23
100,61
100,41
100,45
100,46
100,2
100,0
100,0
100,47
100,51
100,47
100,55
100,47
100,10
100,2
100,55
100,47
100,47
100,59
100,48
100,26
100,3
100,0
100,53
100,48
100,85
100,39
100,47
100,0
100,7
100,0
100,63
100,55
100,47
100,55
100,30
100,3
100,33
100,45
100,61
100,61
100,53
100,47
100,5
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,9
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,55
100,0
100,0
100,0
100,0
100,51
100,0
100,0
100,0
100,137
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,134
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,101
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,2
100,0
100,0
100,0
100,0
