RPM,R_IS
30,0
30,0
30,0
30,0
30,102
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,43
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
40,0
40,0
40,0
40,46
40,38
40,43
40,47
40,48
40,43
40,47
40,47
40,40
40,40
40,46
40,51
40,44
40,48
40,44
40,271
40,52
40,44
40,53
40,41
40,43
40,51
40,47
40,48
40,44
40,45
40,53
40,45
40,10
40,46
40,47
40,42
40,43
40,71
40,40
40,47
40,41
40,0
40,43
40,51
40,45
40,51
40,43
40,43
40,40
40,45
40,40
40,45
40,42
40,45
40,43
40,46
40,43
40,29
40,39
40,46
40,44
40,52
40,43
40,44
40,46
40,220
40,51
40,42
40,47
40,46
40,45
40,48
40,40
40,48
40,47
40,47
40,47
40,52
40,48
40,41
40,47
40,43
40,45
40,51
40,45
40,47
40,43
40,43
40,47
40,0
40,44
40,41
40,14
40,45
40,243
40,51
40,47
40,45
40,43
40,91
40,47
50,31
50,0
50,17
50,55
50,42
50,47
50,55
50,53
50,48
50,921
50,53
50,227
50,1321
50,59
50,47
50,1172
50,55
50,55
50,45
50,52
50,3384
50,1687
50,3127
50,43
50,53
50,2103
50,52
50,51
50,79
50,51
50,43
50,44
50,1843
50,924
50,52
50,45
50,55
50,51
50,45
50,47
50,56
50,51
50,45
50,33
50,48
50,1145
50,40
50,45
50,1203
50,45
50,53
50,55
50,51
50,52
50,60
50,45
50,1228
50,47
50,48
50,48
50,53
50,1323
50,55
50,47
50,60
50,48
50,47
50,1757
50,53
50,48
50,46
50,51
50,46
50,103
50,2057
50,53
50,43
50,47
50,51
50,45
50,201
50,51
50,1431
50,183
50,52
50,287
50,271
50,44
50,45
50,47
50,948
50,55
50,405
50,51
50,60
50,46
50,681
50,53
50,43
50,0
60,121
60,0
60,1
60,0
60,43
60,79
60,75
60,1949
60,77
60,51
60,52
60,51
60,47
60,53
60,127
60,47
60,37
60,53
60,2148
60,48
60,46
60,48
60,55
60,63
60,47
60,51
60,69
60,45
60,55
60,53
60,54
60,53
60,51
60,1851
60,311
60,53
60,55
60,60
60,53
60,45
60,200
60,52
60,56
60,53
60,63
60,48
60,43
60,45
60,43
60,51
60,53
60,48
60,53
60,52
60,51
60,52
60,73
60,55
60,45
60,51
60,53
60,68
60,0
60,53
60,47
60,211
60,52
60,188
60,151
60,155
60,53
60,47
60,7
60,51
60,69
60,47
60,47
60,47
60,44
60,53
60,46
60,47
60,47
60,51
60,71
60,47
60,51
60,46
60,48
60,47
60,48
60,45
60,48
60,51
60,52
60,1563
60,21
60,56
60,56
60,71
70,201
70,0
70,0
70,5
70,0
70,4
70,20
70,53
70,51
70,48
70,51
70,25
70,55
70,48
70,55
70,0
70,46
70,58
70,58
70,55
70,53
70,41
70,52
70,54
70,52
70,45
70,55
70,45
70,128
70,53
70,52
70,0
70,55
70,57
70,51
70,47
70,69
70,45
70,57
70,52
70,47
70,61
70,45
70,51
70,58
70,59
70,957
70,53
70,69
70,43
70,48
70,0
70,46
70,33
70,45
70,72
70,56
70,45
70,44
70,44
70,55
70,51
70,51
70,51
70,55
70,88
70,73
70,46
70,143
70,61
70,30
70,45
70,47
70,1885
70,68
70,0
70,69
70,47
70,53
70,47
70,63
70,0
70,47
70,46
70,49
70,54
70,45
70,48
70,47
70,0
70,47
70,48
70,51
70,47
70,73
70,59
70,47
70,39
70,53
70,59
80,48
80,0
80,41
80,4
80,11
80,9
80,0
80,0
80,0
80,26
80,63
80,47
80,1215
80,52
80,53
80,51
80,17
80,24
80,7
80,48
80,51
80,56
80,40
80,0
80,55
80,55
80,51
80,10
80,10
80,52
80,63
80,47
80,51
80,47
80,54
80,52
80,51
80,52
80,233
80,51
80,76
80,48
80,247
80,63
80,45
80,55
80,48
80,616
80,9
80,4
80,0
80,0
80,53
80,55
80,51
80,47
80,63
80,0
80,11
80,22
80,533
80,23
80,56
80,48
80,67
80,69
80,51
80,52
80,53
80,0
80,7
80,19
80,45
80,56
80,48
80,47
80,57
80,48
80,47
80,37
80,0
80,428
80,31
80,55
80,45
80,47
80,45
80,60
80,57
80,47
80,35
80,20
80,31
80,53
80,48
80,45
80,31
80,53
80,91
80,41
90,53
90,0
90,0
90,0
90,0
90,0
90,0
90,43
90,0
90,46
90,55
90,52
90,10
90,0
90,0
90,9
90,61
90,47
90,55
90,53
90,52
90,3
90,0
90,1
90,14
90,43
90,50
90,53
90,55
90,51
90,18
90,3
90,0
90,28
90,47
90,50
90,51
90,45
90,61
90,41
90,18
90,0
90,47
90,60
90,55
90,55
90,87
90,55
90,56
90,17
90,3
90,48
90,57
90,62
90,73
90,57
90,47
90,54
90,0
90,4
90,59
90,47
90,68
90,47
90,79
90,46
90,52
90,0
90,31
90,63
90,48
90,22
90,50
90,56
90,55
90,5
90,0
90,31
90,53
90,56
90,45
90,61
90,57
90,30
90,4
90,0
90,6
90,47
90,47
90,67
90,61
90,273
90,51
90,10
90,0
90,57
90,51
90,69
90,71
90,51
100,62
100,0
100,0
100,0
100,21
100,351
100,67
100,47
100,53
100,53
100,7
100,28
100,52
100,59
100,70
100,47
100,53
100,7
100,0
100,29
100,67
100,63
100,71
100,7
100,0
100,14
100,0
100,55
100,53
100,55
100,47
100,44
100,17
100,215
100,28
100,61
100,52
100,62
100,51
100,13
100,1
100,0
100,44
100,56
100,47
100,63
100,57
100,69
100,23
100,0
100,223
100,50
100,47
100,59
100,43
100,878
100,39
100,59
100,69
100,45
100,53
100,70
100,55
100,22
100,21
100,48
100,60
100,63
100,44
100,56
100,41
100,9
100,0
100,45
100,48
100,69
100,64
100,53
100,44
100,0
100,0
100,53
100,58
100,48
100,64
100,55
100,26
100,0
100,13
100,69
100,77
100,63
100,53
100,25
100,4
100,0
100,51
100,61
100,169
100,53
100,0
100,1
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,151
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,117
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
